City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Dukat,RU,2022-12-11 22:31:48,62.55,155.55,-32.39,98,100,2.59
266,Russell,US,2022-12-11 22:30:25,32.3502,-85.1999,60.4,88,75,0.0
267,Itarema,BR,2022-12-11 22:31:48,-2.9248,-39.9167,79.99,77,9,16.4
268,Ati,TD,2022-12-11 22:31:49,13.2154,18.3353,71.4,14,0,9.35
269,Tapes,BR,2022-12-11 22:31:49,-30.6733,-51.3958,75.45,83,2,10.25
270,Tottori,JP,2022-12-11 22:31:49,35.5,134.2333,42.87,81,75,4.61
271,Saint-Pierre,RE,2022-12-11 22:31:50,-21.3393,55.4781,76.68,73,20,19.57
272,Igrim,RU,2022-12-11 22:31:50,63.1906,64.4162,-5.19,98,100,5.91
273,Mont-Dore,NC,2022-12-11 22:31:50,-22.2833,166.5833,84.18,99,41,10.2
274,Jega,NG,2022-12-11 22:31:51,12.2175,4.3792,72.23,18,55,9.48
275,Stornoway,GB,2022-12-11 22:32:51,58.2093,-6.3865,33.76,100,75,2.3
276,Carauari,BR,2022-12-11 22:32:51,-4.8828,-66.8958,79.56,79,84,1.01
277,Burns Lake,CA,2022-12-11 22:30:07,54.2331,-125.7533,18.82,89,86,0.34
278,Sitka,US,2022-12-11 22:32:52,57.0531,-135.33,30.09,69,75,4.61
279,Pemangkat,ID,2022-12-11 22:32:52,1.1667,108.9667,75.43,90,99,5.39
280,Ures,MX,2022-12-11 22:32:53,29.4333,-110.4,73.96,15,72,10.16
281,Paamiut,GL,2022-12-11 22:32:53,61.994,-49.6678,19.96,64,0,9.42
282,Calbuco,CL,2022-12-11 22:32:53,-41.768,-73.1273,60.01,64,93,14.36
283,Provideniya,RU,2022-12-11 22:32:54,64.3833,-173.3,19.51,79,75,15.99
284,Cayenne,GF,2022-12-11 22:32:54,4.9333,-52.3333,78.84,89,20,0.0
285,Ixtapa,MX,2022-12-11 22:32:55,20.7,-105.2,79.83,69,20,9.22
286,Kalmunai,LK,2022-12-11 22:32:55,7.4167,81.8167,74.26,89,86,4.97
287,Kalakamati,BW,2022-12-11 22:32:55,-20.5929,27.3121,67.5,80,92,6.73
288,Peniche,PT,2022-12-11 22:32:56,39.3558,-9.3811,64.29,97,99,13.53
289,Shelburne,CA,2022-12-11 22:30:25,44.0787,-80.2041,29.75,97,99,5.99
290,Buala,SB,2022-12-11 22:32:56,-8.145,159.5921,84.25,69,91,4.83
291,Shushenskoye,RU,2022-12-11 22:32:57,53.325,91.9356,2.26,97,100,2.68
292,Elko,US,2022-12-11 22:32:57,41.0002,-115.5012,30.22,86,100,13.0
293,Ancud,CL,2022-12-11 22:32:57,-41.8697,-73.8203,55.6,69,93,8.7
